Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,29.090908,29.132231,28.925619,29.008265,27.077463,15897528
2021-07-01,29.008265,29.008265,28.925619,28.925619,27.000320,5993373
2021-07-04,28.925619,29.049585,28.925619,28.966942,27.038893,9168951
2021-07-05,28.925619,28.966942,28.842976,28.884296,26.961750,5891538
2021-07-06,28.884296,28.925619,28.801653,28.884296,26.961750,4756096
2021-07-07,28.842976,28.925619,28.760330,28.884296,26.961750,7154588
2021-07-08,28.801653,28.884296,28.760330,28.801653,26.884605,5872244
2021-07-11,28.801653,28.842976,28.595041,28.595041,26.691746,5070036
2021-07-12,28.595041,28.719007,28.429752,28.553719,26.653173,6005225
2021-07-13,28.595041,28.842976,28.553719,28.719007,26.807461,5096357
2021-07-14,28.677685,28.925619,28.677685,28.925619,27.000320,5053520
2021-07-15,28.842976,28.925619,28.760330,28.842976,26.923176,5757930
2021-07-25,28.842976,28.925619,28.760330,28.842976,26.923176,7554411
2021-07-26,28.842976,28.884296,28.719007,28.719007,26.807461,3208831
2021-07-27,28.719007,28.760330,28.677685,28.677685,26.768887,4955789
2021-07-28,28.677685,28.842976,28.677685,28.842976,26.923176,3776510
2021-07-29,28.801653,28.842976,28.677685,28.801653,26.884605,6882856
2021-08-01,28.760330,28.842976,28.719007,28.760330,26.846033,4458624
2021-08-02,28.719007,29.008265,28.719007,28.884296,26.961750,10849567
2021-08-03,28.884296,29.008265,28.801653,29.008265,27.077463,7030254
2021-08-04,28.925619,29.008265,28.842976,28.884296,26.961750,5184431
2021-08-05,28.884296,29.008265,28.801653,28.966942,27.038893,4794748
2021-08-08,28.925619,29.132231,28.884296,29.049585,27.116035,8948931
2021-08-09,29.008265,29.090908,28.966942,29.049585,27.116035,5798820
2021-08-10,29.008265,29.090908,28.966942,29.049585,27.116035,5015629
2021-08-11,29.049585,29.132231,29.008265,29.132231,27.193178,7506576
2021-08-12,29.132231,29.132231,29.049585,29.090908,27.154604,5257964
2021-08-15,29.049585,29.256199,29.049585,29.214876,27.270325,8176726
2021-08-16,29.008265,29.008265,28.884296,28.925619,27.271725,8307391
2021-08-17,28.925619,29.132231,28.884296,29.132231,27.466522,11526296
2021-08-18,29.049585,29.132231,28.966942,28.966942,27.310686,4873262
2021-08-19,28.966942,29.049585,28.760330,28.884296,27.232767,5474513
2021-08-22,28.884296,28.884296,28.760330,28.842976,27.193806,2518108
2021-08-23,28.842976,28.884296,28.512396,28.512396,26.882128,5354764
2021-08-24,28.595041,28.760330,28.595041,28.760330,27.115887,3018767
2021-08-25,28.719007,28.801653,28.677685,28.760330,27.115887,2473867
2021-08-26,28.760330,28.801653,28.677685,28.801653,27.154848,1922157
2021-08-29,28.719007,28.884296,28.719007,28.842976,27.193806,2095070
2021-08-30,28.842976,28.966942,28.719007,28.966942,27.310686,5638995
2021-08-31,28.842976,29.049585,28.842976,29.049585,27.388603,9071864
2021-09-01,28.966942,29.008265,28.925619,28.925619,27.271725,3579522
2021-09-02,28.925619,29.008265,28.884296,29.008265,27.349644,2718036
2021-09-05,28.925619,29.049585,28.925619,29.008265,27.349644,3539627
2021-09-06,28.966942,29.008265,28.925619,29.008265,27.349644,3564553
2021-09-07,28.925619,29.008265,28.925619,29.008265,27.349644,2017864
2021-09-08,28.966942,29.008265,28.925619,29.008265,27.349644,4953328
2021-09-09,28.925619,28.966942,28.884296,28.884296,27.232767,4806624
2021-09-12,28.925619,28.966942,28.884296,28.884296,27.232767,2743708
2021-09-13,28.884296,28.966942,28.842976,28.966942,27.310686,4588063
2021-09-14,28.884296,28.966942,28.884296,28.884296,27.232767,4993304
2021-09-15,28.925619,29.049585,28.925619,29.049585,27.388603,9275156
2021-09-16,29.049585,29.132231,28.966942,29.049585,27.388603,12930258
2021-09-19,29.008265,29.049585,28.842976,28.925619,27.271725,8907581
2021-09-20,28.884296,28.925619,28.842976,28.925619,27.271725,5361184
2021-09-21,28.842976,28.925619,28.842976,28.842976,27.193806,5476276
2021-09-22,28.842976,28.925619,28.842976,28.884296,27.232767,2945319
2021-09-26,28.925619,29.049585,28.884296,29.008265,27.349644,9635319
2021-09-27,29.008265,29.090908,28.966942,29.008265,27.349644,7503121
2021-09-28,29.049585,30.206612,28.966942,30.041323,28.323637,38123894
2021-09-29,29.834709,30.123966,29.586777,29.752066,28.050919,16498002
2021-09-30,29.710743,29.834709,29.504131,29.752066,28.050919,10448261
2021-10-03,29.669420,29.793388,29.628099,29.793388,28.089878,5459140
2021-10-04,29.752066,30.330578,29.669420,30.082644,28.362593,15911658
2021-10-05,30.165289,30.743801,30.123966,30.619835,28.869072,24454485
2021-10-06,30.619835,31.404959,30.619835,30.826447,29.063868,36482899
2021-10-07,30.867767,31.157024,30.578512,30.702478,28.946987,8726219
2021-10-10,30.785124,30.867767,30.289255,30.537189,28.791149,7603692
2021-10-11,30.537189,30.537189,30.537189,30.537189,28.791149,0
2021-10-12,30.578512,30.950413,30.454544,30.743801,28.985949,12257349
2021-10-13,30.702478,30.743801,30.537189,30.578512,28.830111,5614566
2021-10-14,30.578512,30.867767,30.537189,30.826447,29.063868,8139997
2021-10-17,30.785124,31.033056,30.743801,30.909090,29.141785,9458962
2021-10-18,30.909090,30.909090,30.785124,30.909090,29.141785,5025859
2021-10-19,30.909090,31.074381,30.826447,30.950413,29.180746,6158680
2021-10-20,30.867767,30.950413,30.661158,30.785124,29.024908,6344638
2021-10-21,30.826447,31.074381,30.785124,30.950413,29.180746,7918069
2021-10-24,30.950413,31.033056,30.909090,30.909090,29.141785,6353941
2021-10-25,30.826447,30.991735,30.826447,30.950413,29.180746,8926540
2021-10-26,30.909090,30.991735,30.826447,30.909090,29.141785,9525993
2021-10-27,30.867767,31.404959,30.867767,31.157024,29.375546,14718003
2021-10-28,31.074381,31.239670,30.950413,31.198347,29.414505,10090928
2021-10-31,31.322313,31.652891,31.239670,31.322313,29.531382,10994823
2021-11-01,31.322313,31.404959,31.198347,31.198347,29.414505,6283290
2021-11-02,31.198347,31.322313,31.115702,31.322313,29.531382,6159783
2021-11-03,31.280991,31.280991,31.033056,31.074381,29.297626,3852292
2021-11-04,31.033056,31.280991,30.991735,31.280991,29.492422,4071986
2021-11-07,31.074381,31.115702,30.991735,31.074381,29.572489,3131054
2021-11-08,31.033056,31.115702,30.950413,30.991735,29.493841,6268244
2021-11-09,30.991735,30.991735,30.785124,30.826447,29.336538,4215950
2021-11-10,30.826447,31.033056,30.702478,30.909090,29.415186,3343692
2021-11-11,30.867767,31.033056,30.826447,31.033056,29.533165,2830548
2021-11-14,30.991735,31.033056,30.909090,30.950413,29.454514,1978294
2021-11-15,30.867767,30.950413,30.785124,30.785124,29.297213,3097391
2021-11-16,30.743801,30.826447,30.578512,30.702478,29.218561,4444101
2021-11-17,30.578512,30.661158,30.537189,30.619835,29.139915,2940549
2021-11-18,30.619835,30.619835,30.619835,30.619835,29.139915,0
2021-11-21,30.247932,30.247932,29.752066,29.834709,28.392735,5652116
2021-11-22,29.752066,29.876034,29.090908,29.297520,27.881508,6971047
2021-11-23,29.214876,30.000000,29.049585,29.586777,28.156786,7143115
2021-11-24,29.958677,29.958677,29.752066,29.752066,28.314085,3264997
2021-11-25,29.793388,30.000000,29.421488,29.421488,27.999487,4649164
2021-11-28,29.421488,29.421488,29.421488,29.421488,27.999487,0
2021-11-29,28.884296,29.049585,28.842976,28.842976,27.448931,7024624
2021-11-30,28.842976,28.884296,28.636362,28.636362,27.252304,13296369
2021-12-01,28.719007,28.925619,28.677685,28.925619,27.527582,5295406
2021-12-02,28.925619,28.925619,28.925619,28.925619,27.527582,0
2021-12-05,28.925619,29.173553,28.925619,29.090908,27.684881,4156491
2021-12-06,29.132231,29.214876,28.925619,28.925619,27.527582,5570424
2021-12-07,29.173553,29.173553,28.966942,28.966942,27.566908,4281524
2021-12-08,28.966942,29.132231,28.925619,28.966942,27.566908,5985019
2021-12-09,29.008265,29.049585,28.636362,28.719007,27.330957,12412425
2021-12-12,28.760330,28.801653,28.553719,28.760330,27.370281,4878659
2021-12-13,28.760330,28.925619,28.719007,28.801653,27.409609,5796210
2021-12-14,28.801653,28.925619,28.719007,28.925619,27.527582,3597979
2021-12-15,28.884296,29.049585,28.801653,29.049585,27.645557,4722478
2021-12-16,28.966942,29.173553,28.966942,29.132231,27.724207,9738104
2021-12-19,29.049585,29.090908,28.925619,28.966942,27.566908,2941634
2021-12-20,28.966942,29.132231,28.842976,29.132231,27.724207,5115121
2021-12-21,29.090908,29.297520,29.008265,29.297520,27.881508,5250219
2021-12-22,29.256199,29.462809,29.214876,29.256199,27.842184,3634583
2021-12-23,29.214876,29.504131,29.214876,29.504131,28.078133,3337136
2021-12-26,29.421488,29.504131,29.338842,29.338842,27.920832,1592794
2021-12-27,29.338842,29.338842,29.214876,29.256199,27.842184,2537683
2021-12-28,29.338842,29.421488,29.297520,29.421488,27.999487,3320027
2021-12-29,29.338842,29.380165,29.049585,29.090908,27.684881,3158360
2021-12-30,29.090908,29.586777,29.049585,29.586777,28.156786,8078821
2022-01-02,29.545454,29.545454,29.380165,29.380165,27.960161,2644521
2022-01-03,29.338842,29.586777,29.338842,29.462809,28.038807,3409916
2022-01-04,29.421488,29.504131,29.380165,29.421488,27.999487,2423144
2022-01-05,29.380165,29.586777,29.380165,29.545454,28.117458,2979819
2022-01-06,29.421488,29.462809,29.297520,29.297520,27.881508,3839851
2022-01-09,29.338842,29.504131,29.338842,29.504131,28.078133,4151697
2022-01-10,29.504131,29.545454,29.421488,29.462809,28.038807,3014500
